rank of	rank:80,80,;
with systems	with:26,;
area of	area:109,109,109,;
previous queries	previous:107,;
with path	with:91,91,;
books in	books:23,;
what are	what:36,49,52,52,53,55,55,;
and cite	and:60,;
case of	case:80,80,;
improved document	improved:60,;
and database	and:98,;
concerns are	concerns:1,;
precision rate	precision:77,77,;
their searching	their:59,;
query terms	query:97,;
several record	several:73,;
as lines	as:90,;
searchers called	searchers:108,;
the economics	the:89,89,;
encountered with	encountered:49,;
the proposed	the:79,;
material in	material:41,41,;
to simplify	to:98,98,;
ultimately important	ultimately:57,57,;
help facility	help:108,;
person to	person:39,;
formally link	formally:91,;
scientific or	scientific:71,71,;
interdependence of	interdependence:79,79,;
present and	present:46,82,46,;
the character	the:62,62,;
between products	between:83,;
survey with	survey:86,;
concept of	concept:62,70,76,96,98,99,62,70,76,96,98,99,;
searching algorithm	searching:61,;
present article	present:105,105,;
and network	and:81,81,;
theoretic consideration	theoretic:96,;
of translating	of:36,;
devise which	devise:50,;
consisting of	consisting:93,;
there a	there:41,41,41,;
and management	and:70,70,;
then its	then:73,73,;
articles themselves	articles:2,;
not why	not:50,50,;
the use	the:10,40,46,53,56,65,69,69,69,89,101,111,10,40,46,53,56,65,69,69,69,89,101,111,;
lines arcs	lines:90,;
1712 paper	1712:60,;
observed data	observed:80,;
use either	use:79,79,;
might select	might:104,104,;
were relatively	were:91,;
a technique	a:84,108,84,108,;
specialized in	specialized:85,;
likely to	likely:5,91,5,91,;
a derive	a:73,;
retrieval performances	retrieval:106,;
by conducting	by:67,;
input sentences	input:75,;
relevant document	relevant:65,84,99,99,;
are selected	are:67,;
indexing purpose	indexing:102,;
each is	each:64,;
consensual structure	consensual:90,90,;
major u	major:92,92,;
and compared	and:110,;
and citing	and:60,;
replace keyword	replace:93,;
approximate title	approximate:1,;
of searching	of:63,108,;
sketched and	sketched:73,;
efficiently organize	efficiently:81,;
occur six	occur:91,91,;
writer dss	writer:70,;
index over	index:109,109,;
the research	the:70,74,74,70,74,74,;
search aids	search:98,;
it appears	it:42,;
research library	research:74,74,;
to industry	to:15,15,;
of advances	of:100,;
abstreact of	abstreact:71,71,;
to examine	to:107,107,;
have any	have:53,53,;
proves beneficial	proves:101,;
large numbers	large:103,;
and chart	and:69,69,;
demonstrated relational	demonstrated:82,;
cost datum	cost:89,;
for inclusion	for:9,9,;
is demonstrated	is:82,87,;
conit be	conit:98,99,;
day inflation	day:110,110,;
normalize word	normalize:67,67,;
the feasibility	the:87,87,;
material be	material:37,76,;
order and	order:41,41,;
without go	without:41,;
future research	future:85,85,;
user application	user:83,;
spend on	spend:49,;
via manual	via:93,93,;
and query	and:106,;
translate by	translate:98,;
they been	they:49,;
two mode	two:89,;
term importance	term:102,102,;
science and	science:49,70,70,109,70,70,;
with relevance	with:96,96,;
and false	and:72,72,;
also suggest	also:97,;
facility which	facility:108,;
idea have	idea:86,;
weight we	weight:97,;
in readable	in:57,57,;
of catalog	of:87,87,;
change rapidly	change:110,;
normalize to	normalize:77,;
collection with	collection:68,68,;
the difficulty	the:43,;
management this	management:110,;
these conditions	these:95,;
the previous	the:78,78,;
domain orient	domain:85,;
classifying material	classifying:37,;
with those	with:93,;
create the	create:69,;
prospcts for	prospcts:49,;
of different	of:36,98,104,36,98,104,;
they focus	they:70,70,;
be show	be:62,82,102,104,109,;
technology has	technology:58,;
and fast	and:101,101,;
queries natural	queries:59,;
of texts	of:36,;
between the	between:107,107,;
transducer take	transducer:78,;
as document	as:109,;
system retain	system:62,;
transmission of	transmission:33,33,;
the increasing	the:45,;
ca sections	ca:67,;
documents have	documents:71,;
many of	many:68,68,;
article the	article:82,82,;
display overall	display:69,;
cite social	cite:91,;
nonrelevant documents	nonrelevant:102,;
nomenclature terms	nomenclature:67,;
simple to	simple:69,69,;
refer to	refer:90,;
problem and	problem:1,32,38,40,43,38,43,;
a system	a:62,62,;
between application	between:83,83,;
know something	know:90,;
thus the	thus:98,98,;
analysis show	analysis:79,;
can descriptor	can:51,;
of several	of:73,73,;
a probabilistic	a:65,65,;
term frequency	term:102,102,;
is communication	is:6,;
a experimental	a:67,84,98,99,;
who seem	who:109,109,;
libraries is	libraries:56,;
libraries in	libraries:45,58,;
suggested as	suggested:65,;
translate of	translate:36,;
were path	were:91,;
show how	show:90,90,;
retaining the	retaining:62,;
were not	were:91,;
increase importance	increase:45,;
syndetic relations	syndetic:69,;
area an	area:106,;
reference at	reference:67,;
which does	which:111,;
area as	area:46,110,;
technique that	technique:109,109,;
information consolidation	information:11,11,;
applications to	applications:93,;
term vocabulary	term:104,104,;
experiment be	experiment:93,106,;
be omit	be:64,;
office environment	office:110,110,;
science give	science:3,3,;
them as	them:91,;
each be	each:64,;
then sort	then:60,;
service in	service:89,89,101,;
relational algebra	relational:82,82,;
like maps	like:64,;
exchange and	exchange:25,47,25,47,;
major encyclopedias	major:59,;
and clinical	and:53,53,;
presently run	presently:85,;
in scisearch	in:91,91,;
efficient retrieval	efficient:73,73,;
done using	done:109,;
argue that	argue:64,;
new environment	new:58,58,;
attributed in	attributed:99,;
process and	process:46,58,94,58,94,;
experimental usage	experimental:99,;
to one	to:44,44,;
datum file	datum:73,;
matrix and	matrix:111,111,;
argument of	argument:70,70,;
canonical form	canonical:86,;
compare each	compare:68,;
natural way	natural:90,90,;
by searchonyms	by:93,;
control function	control:81,;
presently fifty	presently:44,44,;
presently good	presently:59,;
the probability	the:67,67,67,;
record which	record:73,;
of string	of:86,;
the retrieve	the:84,;
retrieval performance	retrieval:59,59,60,106,59,59,60,;
the investment	the:110,110,;
and from	and:111,111,;
the various	the:42,106,42,106,;
a generally	a:41,41,;
structure analysis	structure:71,71,;
using an	using:112,;
an atn	an:78,;
aspects of	aspects:42,65,66,89,;
paper retrieved	paper:60,72,;
analyses show	analyses:79,;
then saving	then:7,;
for this	for:24,24,;
which each	which:85,85,;
for controlled	for:51,;
in common	in:68,68,;
current activity	current:110,;
we identify	we:90,90,;
system more	system:84,84,;
and matching	and:19,;
that helps	that:61,;
of evaluating	of:88,;
type data	type:91,;
and write	and:43,43,;
information services	information:108,108,;
be normally	be:102,;
dimensions like	dimensions:18,;
scripts plans	scripts:75,;
oclc service	oclc:74,;
inherent with	inherent:96,96,;
cataloging acquisitions	cataloging:46,;
weight of	weight:97,;
s permit	s:78,78,;
systems for	systems:7,25,32,70,;
the characteristic	the:49,52,;
call invisible	call:90,;
some degree	some:40,40,;
governor form	governor:77,77,;
connect all	connect:104,;
named conit	named:98,99,;
automated full	automated:106,;
index how	index:51,51,;
translate in	translate:36,;
interface for	interface:99,99,;
latter as	latter:70,70,;
to a	to:41,73,77,77,77,80,83,84,93,94,99,105,41,73,77,77,77,80,83,84,93,94,99,105,;
the mean	the:106,106,;
define for	define:70,;
environments the	environments:81,94,;
searching using	searching:93,;
major networks	major:58,;
past tenses	past:67,;
article code	article:7,;
datum we	datum:60,;
with one	with:90,90,;
generality often	generality:85,85,;
by computer	by:7,7,;
been evaluated	been:67,;
library relation	library:23,;
review and	review:62,69,69,;
articles to	articles:1,80,;
concepts their	concepts:90,;
produce improve	produce:60,;
develop only	develop:70,;
computerized and	computerized:32,32,;
a preliminary	a:59,59,;
with each	with:73,73,;
property with	property:102,;
help facilities	help:108,;
numerous example	numerous:82,;
affect libraries	affect:45,;
from this	from:58,58,;
association measure	association:104,;
it take	it:47,47,;
printed services	printed:89,89,;
mostly concern	mostly:81,;
control by	control:77,;
probabilistic model	probabilistic:65,65,;
the evolution	the:74,74,;
reductions in	reductions:68,;
cocitations of	cocitations:109,;
distribute datum	distribute:58,;
still though	still:86,86,;
a architectural	a:83,;
impact of	impact:45,45,;
searcher by	searcher:108,;
times over	times:68,;
weights all	weights:95,;
totals for	totals:92,;
and specialize	and:85,;
distribute information	distribute:47,81,;
network technology	network:66,66,;
design architecture	design:70,70,;
of article	of:1,9,80,80,;
any effort	any:47,47,;
class of	class:99,99,;
magnetic disk	magnetic:87,87,;
to n	to:90,90,;
used many	used:68,;
provide feedback	provide:108,;
prediction of	prediction:60,;
interest in	interest:101,101,;
shared by	shared:61,;
and information	and:81,100,107,81,100,107,;
field relate	field:28,;
system keyword	system:107,;
concept designated	concept:90,;
intelligence project	intelligence:85,85,;
data resulted	data:60,;
great than	great:68,;
interrelation such	interrelation:81,;
promising ideas	promising:86,;
much closer	much:110,;
approach a	approach:90,90,;
over the	over:92,109,92,109,;
be descriptor	be:51,;
invisible college	invisible:90,;
the recall	the:59,77,59,77,;
of scientists	of:90,;
000 text	000:93,;
linguistic models	linguistic:85,;
notion of	notion:62,78,82,90,62,78,82,90,;
training phase	training:67,67,67,67,;
complexity and	complexity:112,112,;
judgement under	judgement:61,;
node and	node:90,;
results is	results:87,;
cover completely	cover:81,;
the type	the:99,99,;
exist system	exist:85,99,;
it to	it:15,15,;
raw datum	raw:109,;
librarian what	librarian:54,;
results if	results:47,;
and times	and:87,;
make to	make:44,47,93,98,;
been done	been:41,;
parameter be	parameter:80,;
than medium	than:102,102,;
retrieval output	retrieval:17,17,;
and discrimination	and:59,59,;
and functional	and:66,66,;
document per	document:67,;
published one	published:44,;
correspond approximately	correspond:59,59,;
facilitate initial	facilitate:69,;
restructuring requirement	restructuring:69,;
of names	of:81,;
they title	they:1,91,;
review current	review:100,;
both the	both:59,60,67,59,60,67,;
of resource	of:76,76,;
and after	and:58,58,;
computer in	computer:53,53,;
medicine for	medicine:53,53,;
techniques supplemented	techniques:67,;
and printed	and:89,;
of this	of:49,61,68,70,73,74,90,93,96,105,105,109,70,90,96,105,;
s axes	s:109,;
described of	described:84,;
shows 1	shows:109,;
vocabulary of	vocabulary:37,42,107,107,42,107,107,;
automate search	automate:99,;
the interface	the:98,98,98,98,98,98,98,98,;
located who	located:48,;
document references	document:99,;
evaluation one	evaluation:63,63,;
across group	across:109,109,;
log x	log:80,80,;
store large	store:103,;
be cocitation	be:109,;
functions in	functions:94,;
to global	to:93,93,;
with feedback	with:84,84,;
process produce	process:93,;
libraries group	libraries:74,;
are like	are:64,;
inexperienced end	inexperienced:99,99,;
instruction and	instruction:98,99,99,108,98,99,99,108,;
an index	an:51,73,106,;
dislocation of	dislocation:39,39,;
be extract	be:77,104,;
match each	match:67,;
fifth type	fifth:80,80,;
of artificial	of:90,90,;
into the	into:54,75,98,54,75,98,;
others a	others:83,;
word meaning	word:38,;
previous experiment	previous:72,;
reduction in	reduction:68,;
environment results	environment:84,;
is still	is:48,;
adequately for	adequately:43,43,;
open problem	open:86,86,;
language understanding	language:78,85,85,78,85,85,;
necessary flexibility	necessary:38,38,;
on bibliographic	on:60,60,;
terms representing	terms:112,;
paper and	paper:60,60,;
are discussed	are:62,65,82,;
will combine	will:90,90,;
and related	and:62,;
satisfactory the	satisfactory:71,71,;
to facilitate	to:85,85,;
processing time	processing:69,71,71,;
and procedure	and:46,;
normalized to	normalized:77,;
technology some	technology:70,70,;
of result	of:85,87,;
s axis	s:109,;
is concluded	is:99,;
training needs	training:24,;
focus on	focus:70,70,70,70,;
make in	make:38,40,;
flexibility in	flexibility:38,38,;
library problem	library:32,;
of they	of:16,59,63,71,75,;
interface allows	interface:98,;
arrange material	arrange:41,;
language these	language:98,;
conventional approaches	conventional:68,;
use subset	use:88,;
impossible to	impossible:48,48,;
cost are	cost:15,;
takes its	takes:78,;
ordered lists	ordered:60,;
were except	were:72,;
group boundaries	group:109,;
using any	using:70,;
fifty to	fifty:44,44,;
of them	of:71,;
precision ratios	precision:59,;
other however	other:64,64,;
convergence information	convergence:110,110,;
are reported	are:85,;
though some	though:90,90,;
inquirer to	inquirer:61,61,;
analysis would	analysis:89,89,;
the field	the:40,71,71,90,40,71,90,;
experiment are	experiment:93,;
accord to	accord:67,;
the lists	the:112,;
factoring reduces	factoring:78,78,;
distinguish search	distinguish:66,;
library cope	library:45,;
understanding of	understanding:42,109,42,109,;
understanding behavior	understanding:78,78,;
medicus what	medicus:52,52,;
a distance	a:33,33,;
tests are	tests:104,;
association measures	association:104,;
measure produce	measure:60,;
2 the	2:89,89,;
methods are	methods:18,79,101,102,;
the deletion	the:80,80,;
accrue from	accrue:100,;
bearing do	bearing:8,;
data contained	data:94,;
stored data	stored:38,;
education to	education:39,39,;
specialists in	specialists:106,;
document collection	document:68,112,68,112,;
brought problems	brought:58,;
databases has	databases:92,;
in analyze	in:109,;
straight line	straight:80,80,;
great interest	great:101,;
of cooperating	of:78,;
services and	services:87,;
weights are	weights:62,;
computer to	computer:40,;
problem still	problem:86,86,;
integrates a	integrates:87,;
and non	and:60,84,60,84,;
to bibliographic	to:108,108,;
and not	and:90,90,;
generally in	generally:106,106,;
the authors	the:58,;
of that	of:47,74,;
was used	was:63,;
and library	and:48,48,;
a electronic	a:103,;
should they	should:45,45,;
that describe	that:97,97,97,97,;
language this	language:98,;
classification number	classification:57,57,;
be collect	be:87,;
this 528	this:92,;
cocitation analysis	cocitation:109,109,;
techniques suitable	techniques:86,;
plays the	plays:81,;
cost and	cost:26,79,87,87,89,26,79,89,;
find and	find:40,;
their development	their:76,;
they component	they:67,71,;
hierarchical and	hierarchical:69,69,;
correct sections	correct:67,;
commercially available	commercially:63,63,;
relate this	relate:86,;
and 1	and:93,;
like description	like:46,;
applications and	applications:83,;
and 5	and:109,109,;
arranged by	arranged:57,;
analyses with	analyses:107,;
a whole	a:73,73,;
accepted what	accepted:42,;
document pair	document:68,;
average student	average:42,42,;
connecting all	connecting:104,;
method which	method:79,79,;
described to	described:71,;
it is	it:42,62,64,65,66,69,88,90,95,99,105,109,;
sample data	sample:107,;
described herein	described:83,;
particular version	particular:85,85,;
it in	it:43,43,;
searcher call	searcher:108,;
of librarian	of:54,;
conduct a	conduct:67,;
to reflect	to:69,69,;
and c	and:80,80,;
and a	and:73,73,82,99,73,73,82,99,;
and b	and:90,90,90,90,;
metrical method	metrical:93,;
simplifying operation	simplifying:99,;
methods and	methods:47,;
education of	education:54,54,;
cocitation occur	cocitation:91,;
to information	to:2,64,82,82,2,64,82,82,;
technical service	technical:87,;
that have	that:37,61,78,96,97,37,61,78,96,97,;
control facility	control:83,;
the added	the:107,;
if there	if:47,47,50,50,47,47,50,50,;
and x	and:80,80,;
file has	file:79,;
is discussed	is:71,94,;
have demonstrate	have:72,;
aim of	aim:86,86,;
extract in	extract:71,;
approximate titles	approximate:1,;
material crossed	material:47,;
of various	of:62,62,;
resulted in	resulted:60,;
tested with	tested:65,;
of results	of:85,87,;
of matrices	of:93,;
in general	in:8,45,8,45,;
searcher to	searcher:59,;
terms using	terms:104,;
print text	print:4,;
share a	share:90,;
has advantages	has:72,;
technicians students	technicians:39,;
what list	what:37,;
to secondary	to:106,106,;
approximate match	approximate:86,;
for automated	for:23,;
of four	of:91,91,;
recently be	recently:68,;
independently by	independently:72,72,;
we hope	we:81,81,;
on get	on:70,;
classification two	classification:106,106,;
chemical compound	chemical:18,;
and language	and:88,88,;
this group	this:109,;
services as	services:89,;
query keywords	query:107,;
recenty technological	recenty:74,74,;
vary degree	vary:95,;
of way	of:73,;
different system	different:98,;
three different	three:104,104,;
a online	a:87,;
distribute architecture	distribute:103,;
producer therefore	producer:105,;
the theories	the:36,;
apply to	apply:71,93,;
each indexed	each:68,;
as documents	as:109,;
the scientists	the:90,;
query on	query:61,;
the observe	the:80,;
title user	title:107,107,;
keeping example	keeping:46,;
opver reference	opver:72,;
list of	list:37,37,110,112,110,;
discussed with	discussed:71,;
writer and	writer:91,;
programs have	programs:39,;
they located	they:48,;
one might	one:104,104,;
education material	education:69,;
a improve	a:97,;
flexibility and	flexibility:85,85,;
be interrogate	be:98,;
them represented	them:90,;
each record	each:73,73,;
give combination	give:90,;
chart format	chart:69,;
traditional method	traditional:36,;
a good	a:47,97,97,;
adding to	adding:107,;
network environment	network:81,;
for programs	for:24,;
other words	other:48,;
agencies and	agencies:35,;
of parameter	of:80,;
the automated	the:33,106,;
paper present	paper:77,;
represent document	represent:112,;
is that	is:70,91,100,106,;
application process	application:83,;
ten time	ten:110,;
operations both	operations:46,;
normal forms	normal:82,;
in database	in:92,;
as good	as:72,72,;
argued that	argued:64,;
classify documents	classify:67,;
n concept	n:90,;
performance be	performance:106,;
datum contain	datum:94,;
all level	all:39,;
making process	making:70,;
general overview	general:83,83,;
maximum span	maximum:104,;
for automatic	for:9,14,84,9,14,84,;
combination occur	combination:90,;
and contextual	and:9,9,;
and involve	and:90,;
between computers	between:6,;
third and	third:82,82,;
automatic grammatical	automatic:9,9,;
be derive	be:84,87,111,;
in libraries	in:23,46,89,89,;
similarity problem	similarity:86,86,;
be implement	be:77,107,;
for simplifying	for:99,;
less related	less:43,43,;
database should	database:93,;
maladjustment and	maladjustment:39,39,;
quickly retrieve	quickly:103,;
can access	can:38,38,;
experiment shows	experiment:80,;
of form	of:72,;
for an	for:47,;
utilize descriptor	utilize:51,;
on real	on:108,108,;
370 distribute	370:83,;
and stored	and:67,;
give method	give:12,;
various areas	various:109,;
to characterise	to:111,111,;
why are	why:50,;
given fact	given:78,;
the cooperative	the:76,76,;
data files	data:73,;
in good	in:60,;
largely base	largely:101,;
scheme appears	scheme:50,;
their retrieval	their:77,;
boolean systems	boolean:62,95,;
new field	new:42,42,;
a translate	a:98,99,;
a paradigm	a:90,90,;
thought that	thought:91,;
actual passage	actual:59,;
be akin	be:91,;
patron to	patron:62,62,;
threshold and	threshold:97,;
paper tackle	paper:104,;
identify paradigms	identify:90,;
or schedule	or:37,;
average recall	average:72,72,;
preciseness of	preciseness:77,77,;
lexical subsystems	lexical:81,;
dictionary lookup	dictionary:67,67,;
helps the	helps:61,;
superior in	superior:59,59,;
about concepts	about:71,;
discuss promise	discuss:85,;
researcher view	researcher:70,;
weight all	weight:95,;
they considered	they:40,;
routine library	routine:46,46,;
but have	but:49,;
document reference	document:99,;
weight each	weight:90,;
including all	including:87,;
after marc	after:58,58,;
a reference	a:67,67,;
other signs	other:91,;
office automation	office:83,83,;
177 papers	177:91,;
the failure	the:43,43,;
systems considered	systems:95,;
sophisticated subject	sophisticated:61,;
what future	what:14,14,;
be publish	be:44,;
user need	user:63,;
represent indexing	represent:105,;
sorted by	sorted:60,;
border author	border:109,;
and overall	and:69,69,;
unit of	unit:109,;
documents and	documents:60,93,;
follows y	follows:80,;
divergent group	divergent:109,;
four automate	four:106,;
applications some	applications:63,;
uses a	uses:71,;
text database	text:93,106,93,;
with concepts	with:90,;
transformations are	transformations:64,;
to printed	to:89,;
the lack	the:85,85,;
transducer takes	transducer:78,;
control in	control:49,49,;
degree to	degree:95,;
centers of	centers:48,;
67 respectively	67:72,72,;
they development	they:76,;
bite hard	bite:110,;
relevance partial	relevance:60,60,;
the sample	the:90,90,;
to fulfill	to:97,97,;
list we	list:60,;
there any	there:47,50,47,50,;
operating detail	operating:52,;
with separate	with:78,78,;
three unknown	three:80,80,80,80,;
original papers	original:7,;
which countries	which:48,;
simple word	simple:106,106,;
maps and	maps:64,;
array processors	array:101,;
be insurmountable	be:40,40,;
term base	term:102,;
by any	by:95,95,;
of threshold	of:96,96,;
arbitrarily set	arbitrarily:109,109,;
focus as	focus:70,70,;
problems equivalence	problems:86,;
computation will	computation:68,68,;
operate environment	operate:63,;
or information	or:64,64,;
in other	in:8,48,109,8,48,109,;
their cocitations	their:60,;
million article	million:44,;
the title	the:71,77,71,77,;
use together	use:90,;
is this	is:52,;
value resolve	value:96,;
refined retrieval	refined:101,101,;
use cocitation	use:60,;
arbitrarily large	arbitrarily:93,93,;
shown that	shown:50,62,71,109,;
any boolean	any:95,95,;
count draw	count:109,;
consider during	consider:78,;
very large	very:73,73,;
picture 2	picture:89,89,;
performance of	performance:59,93,59,93,;
searching seems	searching:89,;
bibliographic file	bibliographic:66,;
promising directions	promising:85,;
the automatic	the:68,68,;
proven that	proven:95,;
in retrieval	in:7,7,;
position and	position:54,54,;
duncan and	duncan:91,91,91,91,;
weight derive	weight:67,;
make up	make:1,;
with many	with:70,70,;
of bibliographic	of:87,87,;
architecture will	architecture:83,;
address the	address:83,83,;
documents are	documents:67,67,68,111,;
they consider	they:40,;
assistants technicians	assistants:39,;
estimate the	estimate:102,;
cocitation of	cocitation:109,;
experiences between	experiences:85,;
subsequent writers	subsequent:91,;
be still	be:48,;
unit in	unit:109,109,;
what programs	what:39,;
although the	although:91,91,;
arc connect	arc:90,;
comparative searching	comparative:63,63,;
business universities	business:48,;
results of	results:71,93,93,;
comparative evaluation	comparative:63,63,;
expression the	expression:96,;
and illustrated	and:85,;
deletion of	deletion:80,80,;
searchonyms which	searchonyms:93,;
states in	states:76,76,;
all systems	all:95,;
the classified	the:56,56,;
schemes ddc	schemes:50,;
has recently	has:68,;
suitable for	suitable:86,86,;
a larger	a:97,;
by frequency	by:93,93,;
other possible	other:53,53,;
has increased	has:92,;
actually pertinent	actually:2,2,;
involve threshold	involve:97,;
database consisting	database:93,;
the factory	the:110,110,;
on understanding	on:70,70,;
there are	there:44,;
of association	of:104,104,;
office this	office:110,110,;
key term	key:77,77,77,77,;
datum transmission	datum:83,;
appear to	appear:50,93,50,93,;
have also	have:97,97,;
is then	is:70,95,;
bibliographic datum	bibliographic:87,108,;
cooperating atn	cooperating:78,;
as expect	as:91,;
communications convergence	communications:110,110,;
online systems	online:58,;
a series	a:84,84,;
the milan	the:85,85,;
on automatic	on:63,63,;
different systems	different:98,;
the close	the:109,;
concept designate	concept:90,;
is generally	is:106,;
principle of	principle:78,;
grossly unfair	grossly:89,89,;
them and	them:58,;
this amount	this:44,44,;
within the	within:70,90,70,90,;
been judged	been:60,;
these areas	these:49,;
results compare	results:84,;
large sets	large:86,;
of scientist	of:90,;
modify queries	modify:61,;
kind of	kind:63,;
current activities	current:110,;
distributes information	distributes:47,;
section groupings	section:67,67,;
be support	be:70,85,;
and searching	and:89,89,;
colon classification	colon:106,106,106,106,106,106,;
printed text	printed:4,;
the lexical	the:81,81,81,81,81,81,;
introduced and	introduced:82,;
interchange between	interchange:83,83,;
retrieved set	retrieved:84,;
designated a	designated:90,;
with these	with:49,;
for general	for:32,32,;
they represent	they:90,;
be survey	be:86,;
information embodied	information:106,;
high speed	high:12,17,12,17,;
published on	published:44,;
what lists	what:37,;
names of	names:91,;
recall rate	recall:77,77,77,77,;
duncan land	duncan:91,91,;
was found	was:91,106,;
the analysis	the:67,79,109,67,109,;
cost data	cost:89,;
online system	online:58,;
previous mechanism	previous:97,;
appear in	appear:84,90,;
and manager	and:70,;
prove that	prove:95,;
article appear	article:44,;
through he	through:66,;
involved with	involved:90,;
has received	has:82,;
with all	with:68,68,;
evolves more	evolves:66,;
heuristic cluster	heuristic:65,65,;
difference measure	difference:86,;
of words	of:37,37,;
g group	g:10,10,;
measure which	measure:60,60,;
as automate	as:15,;
rare or	rare:102,102,;
the next	the:93,93,93,93,;
paper examine	paper:74,;
in catalogs	in:57,;
authors offers	authors:109,;
and 13000000	and:93,;
spent on	spent:49,;
descriptor be	descriptor:51,73,73,;
matches in	matches:86,;
bring the	bring:92,;
an english	an:93,;
consistency have	consistency:67,67,;
relations indicated	relations:69,;
and programs	and:76,;
be some	be:36,47,49,;
meaning in	meaning:36,;
of content	of:91,91,;
a means	a:98,98,;
by comparing	by:67,;
research shown	research:50,;
coded identification	coded:69,;
customize service	customize:66,;
degree of	degree:40,90,109,40,90,109,;
the natural	the:49,49,;
classified catalog	classified:56,56,;
being ten	being:110,;
axis which	axis:109,;
systems retain	systems:62,;
further evidence	further:93,93,;
intercept and	intercept:80,80,;
so what	so:49,53,49,53,;
the knowledge	the:71,71,;
in nature	in:91,91,;
examples performance	examples:85,;
scientific research	scientific:11,11,;
cooperation which	cooperation:76,76,;
extremely low	extremely:110,110,;
value and	value:39,;
other field	other:48,;
procedure use	procedure:68,72,;
the analyses	the:79,;
dss represent	dss:70,70,;
to school	to:109,;
words from	words:67,;
take its	take:78,;
training requirements	training:24,;
this to	this:86,86,;
past decade	past:82,82,;
inc has	inc:74,;
computational facilities	computational:101,;
the significant	the:71,71,;
replacing keywords	replacing:93,;
the cumulative	the:80,80,;
retrieval what	retrieval:16,41,16,41,;
consistent with	consistent:93,93,;
functional aspect	functional:66,;
project the	project:85,85,85,;
author be	author:109,;
vocabulary use	vocabulary:111,;
procedures and	procedures:87,;
an amalgam	an:48,;
idea behind	idea:75,75,;
of document	of:60,65,67,68,71,84,90,96,106,107,65,90,;
of achieving	of:41,;
author as	author:109,109,109,;
to library	to:76,76,;
both cited	both:60,;
papers although	papers:91,;
be find	be:40,91,106,;
process partially	process:79,79,;
service and	service:87,;
produced improved	produced:60,;
two system	two:95,;
the queries	the:97,107,;
the medlars	the:52,52,;
presents a	presents:77,;
support system	support:83,83,;
problem in	problem:58,81,81,;
of such	of:62,62,;
pointed out	pointed:85,;
be convert	be:77,;
represent the	represent:60,62,95,62,95,;
support by	support:85,;
terms appearing	terms:84,;
pair seem	pair:91,;
indexed by	indexed:68,;
basic articles	basic:42,;
a straight	a:80,80,;
of consensus	of:90,90,90,90,;
established dynamic	established:86,;
resource sharing	resource:76,76,;
of precision	of:104,104,;
transforming printed	transforming:4,;
we generate	we:97,97,;
such group	such:90,;
new mechanism	new:97,97,;
group inc	group:74,74,;
searchers by	searchers:108,;
the results	the:53,71,88,93,93,;
descriptor is	descriptor:73,;
apply in	apply:46,;
support as	support:70,70,;
ignore the	ignore:75,;
factory and	factory:110,;
descriptor in	descriptor:51,;
subject classification	subject:50,50,;
or a	or:77,106,77,;
equivalence problem	equivalence:86,;
inquiry are	inquiry:85,;
consensus weight	consensus:90,;
state of	state:100,100,;
cited by	cited:91,;
the key	the:70,70,77,70,70,77,;
automatic reformulation	automatic:84,84,;
apply if	apply:50,;
several paper	several:96,;
element the	element:79,;
mechanization of	mechanization:46,46,;
necessary to	necessary:87,87,;
plans and	plans:75,;
be usually	be:110,;
effort being	effort:47,;
of systems	of:106,;
specifically that	specifically:68,;
extractor legality	extractor:85,85,;
for term	for:84,;
extracted in	extracted:71,;
limit application	limit:93,;
show one	show:59,;
on fuzzy	on:96,96,;
facilitates the	facilitates:69,81,;
incorrect query	incorrect:81,;
base searcher	base:108,;
relational model	relational:82,82,82,82,;
various operations	various:87,;
former define	former:70,70,;
find that	find:90,91,106,90,;
in computer	in:36,36,;
librarian assistant	librarian:39,;
coded in	coded:7,;
selected and	selected:67,;
subject area	subject:49,49,106,;
for finding	for:86,;
the increase	the:45,;
as employed	as:84,;
access be	access:73,;
derive from	derive:67,87,111,;
problem of	problem:39,62,94,96,104,62,94,96,104,;
tune to	tune:73,;
for lawyers	for:72,;
and less	and:80,80,;
for searching	for:51,;
differences in	differences:63,;
in vocabulary	in:69,69,;
formed with	formed:91,;
useful standard	useful:63,63,;
more careful	more:97,97,;
coefficicents for	coefficicents:112,;
any other	any:4,4,;
printing and	printing:12,12,;
formulation in	formulation:80,80,;
relevance feedback	relevance:104,104,;
operations the	operations:87,;
good than	good:72,106,;
articles appear	articles:44,;
system have	system:99,;
1960s through	1960s:76,;
all concept	all:90,;
the online	the:87,87,89,92,87,87,89,92,;
technique to	technique:49,;
library give	library:46,46,;
term have	term:70,;
byproduct article	byproduct:7,;
be supplement	be:67,;
easily make	easily:64,;
type system	type:84,84,;
alphabetically arranged	alphabetically:56,;
more two	more:109,109,;
significant phrases	significant:71,71,71,71,;
subject heading	subject:38,57,;
small scale	small:93,93,;
of articles	of:1,9,80,80,;
for encode	for:18,;
a public	a:46,46,;
fields the	fields:90,;
is completely	is:50,;
as plurals	as:67,;
various environment	various:105,;
b will	b:90,90,;
retrieval results	retrieval:106,;
do information	do:15,15,;
facilitate the	facilitate:69,81,85,85,;
improved in	improved:65,;
select further	select:104,104,;
systems has	systems:99,;
accurate value	accurate:80,80,;
extent of	extent:16,16,;
nuances of	nuances:36,;
evaluation suggest	evaluation:88,88,;
